Issue_id,Priority,Component,Duplicated_issue,Title,Description,Status,Resolution,Version,Created_time,Resolved_time
13,P3,Team,,CC Discussion: local versioning (1GAT3PL),"Would it make sense to have a (the?) projects Version menu on its popup in a ; stream; (in the repo explorer)? ; ; NOTES:; ; Jean-Michel (22/03/2001 8:29:49 AM); ; Tagging affects the repository; not the working copy. That begs ; the question: Why require a working copy at all when tagging? The only; purpose that it serves is to designate which project and which; revisions of the various files in the project are being tagged. If you could ; specify the project and revisions independently of the working copy; ; no working copy would be necessary.  from CVS manual.; ; CVS can tag (take workspace revisions and tag then in the repo) and ; rtag (no workspace required; take repo revisions and tag. This command; is mostly always used when branching cvs rtag -b -r version1 version1_bugfix ; so you dont tag the team stream but ). Currently we version using ; rtag just because rtag records a tag event in the history and allows ; us to query for existing tags. But using rtag on the team stream (HEAD) is ; dangerous because you dont really know what you are tagging.; ; Notes:; - in our cvs adapter we must use tag where we currently use rtag.; - to find the versions created with tag in the repo the only thing to do (as ; recommended by the CVS docs): ; ; Until then; there are workarounds. You can run cvs log -h and read the ; sections of the output following the header symbolic names:.; ; but how do we chose which file to look into; it could be a file that has just ; been added to the repo?; - we must allow the user to enter his own tag name where ever he can select a ; version.; - we could use rtag internally when branching (creating a new team stream) ; based on a version.; ; BB (26/03/2001 10:31:40 AM); 	I think we should provide two operations: Create a project version from ; a team stream;; 	and create a project version from the workspace. The API has both ; operations:; 	ISharingManager.createProjectVersion(); 	ITeamStream.createProjectVersion(); 	The first one should be on the context menu for projects in the ; navigator; the second one; 	on the context menu for projects in team streams (repository explorer).; 	CVS has both operations too.; ; from Jean-Michels comment: - in our cvs adapter we must use tag where we ; currently use rtag.; 	I disagree. I think we need both because CVS provides both too.; ; KM (3/26/01 2:23:40 PM); 	Supporting both makes for a very confusing user model.  Versioning from ; the workspace is closer; 	to VAJ and is arguably better since you have a fixed state that you are ; versioning; 	(as opposed to trying to version a non-locking changing stream).; ; KM (4/4/01 4:36:51 PM); 	Decision is to support both.  Versioning stream is helpful for ; baselining before releasing.; 	Must make the distinction clear in the UI.  As a bonus; informing the ; user that he his; 	workspace differs from the stream when versioning the stream may be ; helpful.; ; JohnA (4/6/01 5:20:27 PM); 	Added team stream versioning to the UI.  Moving the PR to active so we ; dont; 	loose Marks useful comments above.",VERIFIED,FIXED,2,10/10/2001 21:34,10/29/2001 16:51
14,P3,Team,,README - Cannot run CVS command line client in Eclipse generated workspace (1GB0CJU),"KM (4/5/01 8:53:30 PM); ; This is arguably not stop ship and could be dropped from June release.; ; These appear to be the important file:; 	CVS/Entries (and possible friends); 	CVS/Repository ; 	CVS/Root; 	CVS/Tag; ; See ; 	http://cvsbook.red-bean.com/cvsbook.html#Working_Copy_Files; for purpose and contents of these files.; ; If we dont have them; you wont be able to run a CVS tool against our local files in the workbench.; However; maintaining these files is a problem since it duplicates information we are already; storing using Core mechanisms (eg. version/sync info).  ; ; Problems:; ; 1. Keeping these files up to date due to changes in Eclipse; 2. Reading them in order to keep up with changes by an external tool; 3. Ensuring we are using the correct format (testing); ; Q: what happens with migration to/from other repository types (eg. CC <-> CVS); ; NOTES:; ; KM (4/10/01 11:52:24 AM); 	Moving to Future.  For June delivereable we will not support 3rd party CVS tools over our workbench files.; 	Discussed with both John W. and Dave T.; ; Jean-Michel (14/06/2001 4:08:20 PM); 	Add to readme.",RESOLVED,WONTFIX,2,10/10/2001 21:34,10/18/2001 16:15
15,P3,Team,,SSH investigation (1GCEDG2),"In support of some of the VCM CVS work we need an SSH implementation that we can use.  There are; two basic options; Java client implementation; native C implementation.  The native C story has ; the standard drawbacks of having to spawn an external process and manage the standard in/standard; out.  The Java approach would be more closely integrated but may suffer in performance and ; flexibility due to Javas inferiour socket implementation.  ; ; NOTES:; ; JM (18/04/2001 5:21:19 PM); 	There are also licensing issues.  many of the public implemenations are GPL.  This may or may not; 	be an issue.  A good place to start looking is http://www.openssh.org.  The SSH Plugin Java implementation; 	is likely to be the most promising of the Java guys.; ; 	To test/investigate this area we need an SSH enabled Linux box.  ; ; 	Moving to JEP for investigation; ; JEP (4/24/01 3:49:53 PM); 	Here is what Ive done so far:; ; 	1. Installed openssh-2.5.2p2 (includes linux ssh client and server) on dj.; 	2. Logged on to dj from dj using linux ssh client.; 	3. Installed the Java Telnet Application 2.0 (includes java ssh client plugin) on pico1.; 	4. Logged on to dj from pico1 using the JTA ssh client plugin.; ; 	I used the default options and configurations whenever possible.; ; JohnA (10/2/2001 5:02:53 PM); 	Assuming this is resolved. Moving to VCM for confirmation/close.",RESOLVED,INVALID,2,10/10/2001 21:35,10/31/2001 14:05
16,P5,Team,,auto-merge button (1GBBEBB),"In the merge view; Id like to have an auto-merge button with the semantics:; 	Copy all non-conflicting incoming changes from the server resource to the local resource.; 	After clicking on that button; I would only have to look at the red stuff (conflicting incoming changes); 	and decide what to do with them.; ; 	CVS users are used to auto-merge in the trivial case where the changes on the source code (line) level dont overlap.; 	When I used CVS; the normal mode for me was to not look at changes at all unless they are non-overlapping.; ; 	I dont know what the existing buttons Copy all from left to right and Copy all from right to left are good for.; ; NOTES:",RESOLVED,FIXED,2,10/10/2001 21:35,2/8/2002 14:43
17,P5,Team,,look at gender change cases (1GBCX61),"We need to look at gender change cases; where at a given path; 		- the workspace has a file but the team stream has a folder; 		- the workspace has a folder but the team stream has a file; ; NOTES:; ; BB (06/04/2001 10:03:58 AM); 	Currently; the implementation does not cover these cases. It assumes that the resource types; 	match.; ; KM (4/6/01 5:11:46 PM); 	This case occurs when on machine A you release folder Foo and on machine B you try to release resource Foo.; 	Unlikely and CVS doesnt handle well anyway.; 	We should test to ensure we are not failing bad (eg. Null Ptr Ex).",RESOLVED,FIXED,2,10/10/2001 21:35,5/23/2002 21:20
18,P3,Team,,implement life cycle management for merge managers (1GCHQMG),"Merge managers store sync info in the resource tree. Because this is persisted; we need some; 	form of life cycle management for merge managers. When a merge manager is no longer used;; 	we can then flush its sync info.; ; NOTES:; ; KM (21/05/01 6:58:10 PM);    Since this is solved by taking a new workbench; moving to Future.; ; BB (6/4/2001 7:47:20 AM); 	Note that there is rudimentary life cycle management for merge managers that we have put in;; 	sync info of merge managers is cleared at startup. This should be changed to support ongoing merges.; 	See 1GEO006.",RESOLVED,WONTFIX,2,10/10/2001 21:35,10/23/2001 23:39
19,P4,Team,,[CVS Repo View] Should be able to pick a branch and catchup to it,"I should be able to pick a stream from the respository and catchup to the stream.; Instead I must select projects within the stream and add to workspace.; This is annoying because it doesnt merge it bashes; and besides it warns you; about every project that you already have loaded.; ; Basically; it should work the same as picking the individual projects from the navigator; and catching up; except instead Im picking the stream to denote the set of projects.; ; NOTES:; ; BB (17/04/2001 9:57:55 PM); 	Note that the lineup of projects in a stream (at least for CVS) is not necessarily; 	meaningful; because projects added to one stream will show up in all other; 	streams in the same repository. A new project in a stream is also not an incoming; 	creation of the project; you would have to use project references for transitive; 	loading or transitive catching up.; 	It would be useful; though; to have a global toolbar button which does a catchup; 	on all shared projects.; ; Jean-Michel (4/25/01 9:14:46 AM); 	1GCQK5Y: ITPVCM:WINNT - Should be able to add HEAD to workspace; 	Moving to time permitting.",RESOLVED,WONTFIX,2,10/10/2001 21:35,11/9/2004 21:38
20,P2,Team,,Workspace files,Thought it would be useful if the set of repo connections could be stored somewhere; external in the file system instead of everyone having their own list cashed in; their workspace (.metadata).  Thus if you get a new workspace you dont need to reconstruct; this information; you can just configure your workspace to point to that list.; Also; it means a team such as ours could share a set of repo connections by; all pointing to the same file.; ; NOTES:,RESOLVED,FIXED,2,10/10/2001 21:35,4/26/2002 12:36
21,P5,Team,,[CVS Watch/Edit] cvs release a projects local workspace (1GBESCM),"Some CVS users are used to using the release command to delete their working checkout (e.g. in Eclipse; 	terminology this means to delete the working project). In Eclipse	you can workaround this:; 	; 	1. release the project; 	2. delete project from workspace (simply by deleting from within Eclipse); 	Note: this wont trigger a note added to the cvs history file.	; ; 	Cancels a checkout (indicates that a working copy is no longer in use). Unlike most CVS commands that ; 	operate on a working copy; this one is not invoked from within the working copy but from directly above ; 	it (in its parent directory). You either have to set your CVSROOT environment variable or use the -d global ; 	option; as CVS will not be able to find out the repository from the working copy. ; ; 	Using release is never necessary. Because CVS doesnt normally do locking; you can just remove your working ; 	copy. However; if you have uncommitted changes in your working copy or you want your cessation of work to ; 	be noted in the CVSROOT/history file (see the history command); you should use release. CVS first checks for ; 	any uncommitted changes; if there are any; it warns you and prompts for continuation. Once the working copy is ; 	actually released; that fact is recorded in the repositorys CVSROOT/history file. ; ; NOTES:",RESOLVED,WONTFIX,2,10/10/2001 21:35,5/6/2005 16:11
22,P3,Team,,persist sharing recommendations and project version references (1GBOA19),"Project descriptions dont store sharing recommendations and project version references yet; but they should.; ; NOTES:; ; Jean-Michel (4/6/01 12:39:12 PM); 	We will live with unqualified project references for now.",RESOLVED,WONTFIX,2,10/10/2001 21:35,4/8/2002 14:42
23,P5,Team,,ScrubLocalAction no longer needed? (1GBS1IA),"Not sure if anyone is using ScrubLocalAction.; This is related to the PR; 	1G5TC8L: ITPCORE:ALL - API - IResource.setLocal has problems; ; Its possible nobody in practice calls 		IResource.setLocal(false); ; NOTES:; ; JM (06/04/2001 6:55:52 PM); 	Dont know what ScrubLocalAction is.  ; 	Moving to VCM; 	See referenced PR for comments on setLocal",RESOLVED,INVALID,2,10/10/2001 21:35,1/31/2002 16:23
24,P3,Team,,Performance of refresh (1GC2TAF),"Since refresh() is called before the catchup/release view opens; it should be as fast as possible.; ; NOTES:; ; BB (12/04/2001 11:32:05 AM); 	The most promising optimization idea is: Dont return an IServerResourceTree from fetchRemoteTree; 	but instead use a call-back to interleave the server communication with updating the sync info.; ; BB (12/04/2001 11:30:31 AM); 	See this PR for other performance tuning opportunities: 1GAT2V2: ITPVCM:WINNT - Releasing very slow; ; MichaelV (19/09/2001 2:14:23 PM); ; 	Here are some percentages on a refresh from OTT to Paris with auto-build turned OFF; ; 		Total Time: 97776 ms; ; 		(57026) 58.3% in Subscriber.refresh(); 			(40704) 41.6% CVSAdapter.fetchRemoteTree(); 			(14918) 15.3% Subscriber.recursiveRefresh(); 		(13242) 13.5% in SharingManager.manage() from  org.eclipse.vcm.ui.sync.Repository.autoManage(); 			What is autoManage?; 		 (12234) 12.5% in org.eclipse.vcm.ui.sync.Repository.collectResourceChanges() (recursive); 		11% in JavaModelManager.resourceChanged(); 		4.3% in ResourceDeltaFactory.computeDelta(); ; 	Hot-spots are; 		14% socket read; 		13% socket write; 		12% String#substring; 		4.6% String#indexOf; 		3.6% Path#segments; 		3.2% String#compareTo; 		3.2% AccumulatingProgressMonitor#subtask; 		3% Path#append; 		3.2% String#concat; ; 	Auto manage time (13.5%) seems to be spent determining what is ignored. There seems to be many ways to improve this!; 	; MichaelV (20/09/2001 8:51:55 AM); ; 	There seems to be a lot of room for improvement in Subscriber#recursiveRefresh; 	However; the general approach used by VCM to determine what changes there are seems to be; 	inherently ineficient.; ; 	In CVS clients; the following steps take place on an update; 	1. Client sends information about all loaded files (versions and what has changed locally); 	2. Server makes one pass through to determine update reponse.; 	3. Client uses response to update only as necessary; 	This results in 2 to 3 passes through the project; ; 	In VCM; the following occurs; 	1. client sends information about known directories; 	2. Server responds with information about new directories and files; 	3. client requests file information (status); 	4. server responds + client must place file in resulting tree; 	5. resulting tree + local structure traversed to update sync info; 	6. local structure traversed to determine if their are changes; 	My guess is that this is roughly equivalent to 5 passes; ; 	Considering that some projects may be very large; this leads to slow syncing ; 	which takes the same time whether there are changes or not.; 	; MichaelV (21/09/2001 2:06:02 PM); ; 	I have optimized the recursive refresh itself but this has bought little (13000). The problem is; 	that we do a get and write of the sync info at each node and this is costly. Furthermore;; 	getting and setting get slower as the distance from the root increases. This is probably due; 	to the fact that there are lots of files at the leaves. ; ; 	Within getWorkspaces; getSharing and getProject are the main culprits. Can these be passed in?; 	The project should be OK but Im unsure of the sharing. getRepository also does a getProject.; ; 	I have optimized SharingManager.manage to avoid internalGetSyncInfo and getProject. (from 13000 to 9000); 	However; we should not need a separate traversal to ensure that all non-ignored resources are managed!; ; 	I have included change collection as part of the refresh. ; 	(Much speed improvement!! from 12000 to virtualy 0); ; MichaelV (24/09/2001 12:49:57 PM); 	; 	Timings of local sync with auto-manage refresh and collection in same pass.; ; 	100% = 30290 ms; 	82.73% (25059) in Subscriber.refresh; 		49.95% (15130) in CVSAdapter.fetchRemoteTree; 		27.25% (8257) in Subscriber.refreshChildren; 		5% (1512) in Policy.countResources; 	15.34% (4649) in NotificationManager.getDelta(); ; 	This is a savings of over 75% on VCM operations but no improvement in fetchRemoteTree. ; 	Also; getDelta timings result from all the storeSyncInfo calls. One solution is; 	to request only the delta information from the server as the CVS command-line; 	client does.;  ; Test Cases; ; 	Sync for first time; 	- on unshared project; 	- on folder/file of unshared project; 	- on folder/file of shared project; ; 	Sync with outgoing; incomming and both; ; 	Merges with outgoing; incomming and both",VERIFIED,FIXED,2,10/10/2001 21:35,10/23/2001 23:39
25,P3,Team,28126,[CVS UI] Need VCM Prefs - Default Repo Connection (1GC3746),It would be helpful if there was a notion of default repository connection so that when you; connected a project you wouldnt have to walk through the list everytime.; ; Not sure how this goes into prefs if its never been created before.  Maybe when you create them you can mark one; as the default.; ; At a minimum having a default repository TYPE (cvs/cc) would be helpful (which then the pulldown in the repo connection; wizard has a default).; ; NOTES:,RESOLVED,DUPLICATE,2,10/10/2001 21:35,1/28/2003 15:49
26,P5,Team,,Need to be able to create a new Repo Connection from the selection dialog (1GC4XE9),Its very awkward that you cannot create a new repository connection when you go ; to associate a project with a repo.; In particular; if you walk through a first-time users scenario; as soon as he ; does VCM operations; he will presented with an empty prompter with no indication of how to get ; anything in it.; ; ; NOTES:,RESOLVED,INVALID,2,10/10/2001 21:35,2/7/2002 12:17
